"CIP7";"Forme_long";"DCI_long";"Laboratoire";"CIP13";"CIS";"Specialite";"Presentation";"Stock";"Ventes.S.1";"Conso.usuelle";"Appro.S15";"Appro.S16";"Appro.S17";"Appro.S18";"Appro.S19";"Appro.S20";"Appro.S21";"Date";"Ventes.J.1";"Appro.S22";"Appro.S23";"Ventes.mensuelles";"DCI";"Forme";"Dosage_wrong";"Unites_wrong";"Dosage";"Unites";"Dose_mg";"Equiv_Factor";"Stock_U";"Ventes.J.1_U";"Stock_U_equiv"
3628489;"poudre et  solvant pour solution injectable";"CEFTRIAXONE SODIQUE";"RANBAXY PHARMACIE GENERIQUES";"3400936284890";"67616985";"CEFTRIAXONE RPG 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)";"1 flacon(s) en verre de 1,193  g - 1 ampoule(s) en verre de 3,5  ml";16799;"314";"3300";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"CEFTRIAXONE";"Forme injectable";"1000mg";1;"1000mg";1;1000;4;16799;NA;67196
3629388;"poudre pour inhalation";"BUDÉSONIDE";"MYLAN MEDICAL SAS";"3400936293885";"60468092";"NOVOPULMON NOVOLIZER 200 microgrammes/dose, poudre pour inhalation";"1 cartouche(s) acrylonitrile butadiène styrène polypropylène de 200 dose(s) avec inhalateur(s)";4362;"251";"1615";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,200mg";1;"0,200mg";200;0.2;3.125;872400;NA;2726250
3629388;"poudre pour inhalation";"BUDESONIDE";"MYLAN MEDICAL SAS";"3400936293885";"60468092";"NOVOPULMON NOVOLIZER 200 microgrammes/dose, poudre pour inhalation";"1 cartouche(s) acrylonitrile butadiène styrène polypropylène de 200 dose(s) avec inhalateur(s)";4092;"126";"1614.83333333333";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,200mg";200;"0,200mg";200;0.2;3.125;818400;NA;2557500
3629388;"poudre pour inhalation";"BUDÉSONIDE";"MYLAN MEDICAL SAS";"3400936293885";"60468092";"NOVOPULMON NOVOLIZER 200 microgrammes/dose, poudre pour inhalation";"1 cartouche(s) acrylonitrile butadiène styrène polypropylène de 200 dose(s) avec inhalateur(s)";4659;"562";"1615";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,200mg";1;"0,200mg";200;0.2;3.125;931800;NA;2911875
3629402;"poudre pour inhalation";"BUDÉSONIDE";"MYLAN MEDICAL SAS";"3400936294028";"60468092";"NOVOPULMON NOVOLIZER 200 microgrammes/dose, poudre pour inhalation";"1 cartouche(s) acrylonitrile butadiène styrène polypropylène de 200 dose(s)";2570;"30";"344";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,200mg";1;"0,200mg";200;0.2;3.125;514000;NA;1606250
3629402;"poudre pour inhalation";"BUDESONIDE";"MYLAN MEDICAL SAS";"3400936294028";"60468092";"NOVOPULMON NOVOLIZER 200 microgrammes/dose, poudre pour inhalation";"1 cartouche(s) acrylonitrile butadiène styrène polypropylène de 200 dose(s)";2484;"42";"344.083333333333";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,200mg";200;"0,200mg";200;0.2;3.125;496800;NA;1552500
3629402;"poudre pour inhalation";"BUDÉSONIDE";"MYLAN MEDICAL SAS";"3400936294028";"60468092";"NOVOPULMON NOVOLIZER 200 microgrammes/dose, poudre pour inhalation";"1 cartouche(s) acrylonitrile butadiène styrène polypropylène de 200 dose(s)";2625;"150";"344";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,200mg";1;"0,200mg";200;0.2;3.125;525000;NA;1640625
3629885;"gélule";"CLORAZÉPATE DIPOTASSIQUE";"SANOFI AVENTIS FRANCE";"3400936298859";"68644101";"TRANXENE 20 mg, gélule";"plaquette(s) polyamide aluminium PVC-Aluminium de 28 gélule(s)";22470;"4102";"14862.7272727273";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"27842";"0";NA;"CLORAZÉPATE";"Forme orale sèche";"20mg";28;"0,02g";28;20;4;629160;NA;2516640
3629885;"gélule";"CLORAZEPATE DIPOTASSIQUE";"SANOFI AVENTIS FRANCE";"3400936298859";"68644101";"TRANXENE 20 mg, gélule";"plaquette(s) polyamide aluminium PVC-Aluminium de 28 gélule(s)";18927;"1765";"14862.7272727273";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"27842";NA;"CLORAZÉPATE";"Forme orale sèche";"0,02g";28;"0,02g";28;20;4;529956;NA;2119824
3629885;"gélule";"CLORAZÉPATE DIPOTASSIQUE";"SANOFI AVENTIS FRANCE";"3400936298859";"68644101";"TRANXENE 20 mg, gélule";"plaquette(s) polyamide aluminium PVC-Aluminium de 28 gélule(s)";26632;"3086";"14879";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"CLORAZÉPATE";"Forme orale sèche";"0,02g";28;"0,02g";28;20;4;745696;NA;2982784
3630871;"comprimé gastro-résistant(e)";"MYCOPHENOLATE SODIQUE";"NOVARTIS PHARMA SAS";"3400936308718";"69678277";"MYFORTIC 180 mg, comprimé gastro-résistant";"12 plaquette(s) polyamide aluminium PVC de 10 comprimé(s)";4759;"18";"1696";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;"1600";NA;"MYCOPHÉNOLATE";"Forme orale sèche";"180mg";120;"180mg";120;180;1;571080;NA;571080
3630871;"comprimé gastro-résistant(e)";"MYCOPHÉNOLATE SODIQUE";"NOVARTIS PHARMA SAS";"3400936308718";"69678277";"MYFORTIC 180 mg, comprimé gastro-résistant";"12 plaquette(s) polyamide aluminium PVC de 10 comprimé(s)";3140;"351";"1696";NA;NA;NA;NA;"1834";NA;NA;2020-04-15;NA;NA;NA;NA;"MYCOPHÉNOLATE";"Forme orale sèche";"180mg";120;"180mg";120;180;1;376800;NA;376800
3630871;"comprimé gastro-résistant(e)";"MYCOPHÉNOLATE SODIQUE";"NOVARTIS PHARMA SAS";"3400936308718";"69678277";"MYFORTIC 180 mg, comprimé gastro-résistant";"12 plaquette(s) polyamide aluminium PVC de 10 comprimé(s)";4834;"130";"1696";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"MYCOPHÉNOLATE";"Forme orale sèche";"180mg";12;"180mg";120;180;1;580080;NA;580080
3630919;"comprimé gastro-résistant(e)";"MYCOPHÉNOLATE SODIQUE";"NOVARTIS PHARMA SAS";"3400936309197";"67858369";"MYFORTIC 360 mg, comprimé gastro-résistant";"12 plaquette(s) polyamide aluminium PVC de 10 comprimé(s)";1899;"1342";"4611";NA;NA;"4212";NA;NA;NA;"4806";2020-04-15;NA;NA;NA;NA;"MYCOPHÉNOLATE";"Forme orale sèche";"360mg";120;"360mg";120;360;2;227880;NA;455760
3630919;"comprimé gastro-résistant(e)";"MYCOPHENOLATE SODIQUE";"NOVARTIS PHARMA SAS";"3400936309197";"67858369";"MYFORTIC 360 mg, comprimé gastro-résistant";"12 plaquette(s) polyamide aluminium PVC de 10 comprimé(s)";4772;"186";"4611";NA;NA;NA;NA;NA;NA;"4806";2020-05-04;NA;NA;NA;NA;"MYCOPHÉNOLATE";"Forme orale sèche";"360mg";120;"360mg";120;360;2;572640;NA;1145280
3630919;"comprimé gastro-résistant(e)";"MYCOPHÉNOLATE SODIQUE";"NOVARTIS PHARMA SAS";"3400936309197";"67858369";"MYFORTIC 360 mg, comprimé gastro-résistant";"12 plaquette(s) polyamide aluminium PVC de 10 comprimé(s)";5013;"1012";"4611";NA;NA;NA;NA;NA;NA;"4806";2020-04-23;NA;NA;NA;NA;"MYCOPHÉNOLATE";"Forme orale sèche";"360mg";12;"360mg";120;360;2;601560;NA;1203120
3631497;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936314979";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 36 gomme(s)";6511;"4470";"2143";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;"2000";NA;"NICOTINE";"Gomme";"2mg";36;"2mg";36;2;1;234396;NA;234396
3631497;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936314979";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 36 gomme(s)";10403;"2724";"2500.66666666667";NA;NA;NA;"1914";"0";"0";"2000";2020-04-23;NA;"2000";"0";NA;"NICOTINE";"Gomme";"2mg";36;"2mg";36;2;1;374508;NA;374508
3631497;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936314979";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 36 gomme(s)";10403;"2724";"2500.66666666667";NA;NA;NA;"1914";"0";"0";"2000";2020-04-15;NA;"2000";"0";NA;"NICOTINE";"Gomme";"2mg";36;"2mg";36;2;1;374508;NA;374508
3631534;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936315341";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 96 gomme(s)";14891;"4185";"724";NA;NA;NA;NA;"9975";NA;NA;2020-05-04;NA;NA;NA;NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;1429536;NA;1429536
3631534;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936315341";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 96 gomme(s)";10330;"4530";"8002.33333333333";NA;NA;NA;"0";"0";"10000";"0";2020-04-23;NA;"10000";"0";NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;991680;NA;991680
3631534;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936315341";"63329735";"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 96 gomme(s)";10330;"4530";"8002.33333333333";NA;NA;NA;"0";"0";"10000";"0";2020-04-15;NA;"10000";"0";NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;991680;NA;991680
3631586;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936315860";"64334824";"NICOTINELL MENTHE FRAICHEUR 4 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 36 gomme(s)";124;"1887";"1656";NA;NA;NA;NA;"1920";NA;NA;2020-05-04;NA;NA;NA;NA;"NICOTINE";"Gomme";"4mg";36;"4mg";36;4;2;4464;NA;8928
3631586;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936315860";"64334824";"NICOTINELL MENTHE FRAICHEUR 4 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 36 gomme(s)";2476;"1644";"1656";NA;NA;NA;"0";"1920";"0";"0";2020-04-23;NA;"0";"0";NA;"NICOTINE";"Gomme";"4mg";36;"4mg";36;4;2;89136;NA;178272
3631586;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936315860";"64334824";"NICOTINELL MENTHE FRAICHEUR 4 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 36 gomme(s)";2476;"1644";"1656";NA;NA;NA;"0";"1920";"0";"0";2020-04-15;NA;"0";"0";NA;"NICOTINE";"Gomme";"4mg";36;"4mg";36;4;2;89136;NA;178272
3631623;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936316232";"64334824";"NICOTINELL MENTHE FRAICHEUR 4 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 96 gomme(s)";5059;"1800";"6088";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"NICOTINE";"Gomme";"4mg";96;"4mg";96;4;2;485664;NA;971328
3631623;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936316232";"64334824";"NICOTINELL MENTHE FRAICHEUR 4 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 96 gomme(s)";4167;"2941";"6088";NA;NA;NA;"0";"3500";"0";"0";2020-04-23;NA;"0";"13500";NA;"NICOTINE";"Gomme";"4mg";96;"4mg";96;4;2;400032;NA;800064
3631623;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936316232";"64334824";"NICOTINELL MENTHE FRAICHEUR 4 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 96 gomme(s)";4167;"2941";"6088";NA;NA;NA;"0";"3500";"0";"0";2020-04-15;NA;"0";"13500";NA;"NICOTINE";"Gomme";"4mg";96;"4mg";96;4;2;400032;NA;800064
3631675;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936316751";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 36 gomme(s)";3668;"1794";"835";NA;NA;NA;NA;"1920";NA;NA;2020-05-04;NA;NA;NA;NA;"NICOTINE";"Gomme";"2mg";36;"2mg";36;2;1;132048;NA;132048
3631675;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936316751";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 36 gomme(s)";3955;"1458";"1223.33333333333";NA;NA;NA;"1944";"1920";"0";"0";2020-04-23;NA;"0";"0";NA;"NICOTINE";"Gomme";"2mg";36;"2mg";36;2;1;142380;NA;142380
3631675;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936316751";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 36 gomme(s)";3955;"1458";"1223.33333333333";NA;NA;NA;"1944";"1920";"0";"0";2020-04-15;NA;"0";"0";NA;"NICOTINE";"Gomme";"2mg";36;"2mg";36;2;1;142380;NA;142380
3631712;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936317123";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 96 gomme(s)";4451;"1123";"2501";NA;NA;NA;NA;NA;NA;"2000";2020-05-04;NA;NA;"2000";NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;427296;NA;427296
3631712;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936317123";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 96 gomme(s)";1942;"1067";"2466.66666666667";NA;NA;NA;"0";"0";"4000";"2000";2020-04-23;NA;"0";"2000";NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;186432;NA;186432
3631712;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936317123";"68085562";"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse";"plaquette(s) thermoformée(s) PVC PVDC aluminium de 96 gomme(s)";1942;"1067";"2466.66666666667";NA;NA;NA;"0";"0";"4000";"2000";2020-04-15;NA;"0";"2000";NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;186432;NA;186432
3633668;"comprimé effervescent(e) sécable";"PARACÉTAMOL";"ARROW GENERIQUES";"3400936336681";"66280930";"PARACETAMOL ARROW 1 g, comprimé effervescent sécable";"tube(s) polypropylène de 8  comprimé(s)";420730;"9404";"38416.9267758099";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"PARACÉTAMOL";"Forme buvable";"1000mg";8;"1000mg";8;1000;NA;3365840;NA;NA
3634538;"comprimé pelliculé";"CARBIDOPA MONOHYDRATEE;ENTACAPONE;LEVODOPA";"NOVARTIS PHARMA SAS";"3400936345386";"62892111";"STALEVO 50 mg/12,5 mg/200 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) de 100 comprimé(s) avec fermeture de sécurité enfant";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"CARBIDOPA;ENTACAPONE;LEVODOPA";"Forme orale sèche";"50mg;12,5mg;200mg";100;"50mg;12,5mg;200mg";100;50;1;0;NA;0
3634573;"comprimé pelliculé";"CARBIDOPA MONOHYDRATEE;ENTACAPONE;LEVODOPA";"NOVARTIS PHARMA SAS";"3400936345737";"65927172";"STALEVO 100 mg/25 mg/200 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 100 comprimé(s)";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"CARBIDOPA;ENTACAPONE;LEVODOPA";"Forme orale sèche";"100mg;25mg;200mg";100;"100mg;25mg;200mg";100;100;2;0;NA;0
3634627;"comprimé pelliculé";"CARBIDOPA MONOHYDRATEE;ENTACAPONE;LEVODOPA";"NOVARTIS PHARMA SAS";"3400936346277";"65247735";"STALEVO 150 mg/37,5 mg/200 mg, comprimé pelliculé";"flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 100 comprimé(s)";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"CARBIDOPA;ENTACAPONE;LEVODOPA";"Forme orale sèche";"150mg;37,5mg;200mg";100;"150mg;37,5mg;200mg";100;150;3;0;NA;0
3634691;"comprimé";"PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATE";"BOEHRINGER INGELHEIM FRANCE";"3400936346918";"69016117";"SIFROL 0,18 mg, comprimé";"3 plaquette(s) thermoformée(s) polyamide aluminium PVC de 10  comprimé(s)";71896;"2846";"16044";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"PRAMIPEXOLE";"Forme orale sèche";"0,18mg";30;"0,18mg";30;0.18;1;2156880;NA;2156880
3634716;"comprimé";"PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATE";"BOEHRINGER INGELHEIM FRANCE";"3400936347168";"69016117";"SIFROL 0,18 mg, comprimé";"10 plaquette(s) thermoformée(s) polyamide aluminium PVC de 10  comprimé(s)";13348;"256";"5151";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"PRAMIPEXOLE";"Forme orale sèche";"0,18mg";100;"0,18mg";100;0.18;1;1334800;NA;1334800
3634745;"comprimé";"PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATE";"BOEHRINGER INGELHEIM FRANCE";"3400936347458";"66881233";"SIFROL 0,7 mg, comprimé";"3 plaquette(s) thermoformée(s) polyamide aluminium PVC de 10  comprimé(s)";8616;"251";"2182";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"PRAMIPEXOLE";"Forme orale sèche";"0,7mg";30;"0,7mg";30;0.7;3.88888888888889;258480;NA;1005200
3634751;"comprimé";"PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATE";"BOEHRINGER INGELHEIM FRANCE";"3400936347519";"66881233";"SIFROL 0,7 mg, comprimé";"10 plaquette(s) thermoformée(s) polyamide aluminium PVC de 10  comprimé(s)";3192;"59";"551";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"PRAMIPEXOLE";"Forme orale sèche";"0,7mg";100;"0,7mg";100;0.7;3.88888888888889;319200;NA;1241333.33333333
3635839;"comprimé pelliculé sécable";"OFLOXACINE";"EG LABO";"3400936358393";"62038794";"OFLOXACINE EG 200 mg, comprimé pelliculé sécable";"plaquette(s) thermoformée(s) aluminium PVC de 10 comprimé(s)";81860;"1021";"6958";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"OFLOXACINE";"Forme orale sèche";"200mg";10;"200mg";10;200;1;818600;NA;818600
3638068;"poudre pour suspension buvable";"AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM";"ARROW GENERIQUES";"3400936380684";"64636573";"AMOXICILLINE/ACIDE CLAVULANIQUE ARROW 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)";"8 sachet(s)-dose(s) papier aluminium polyéthylène de 2 g";269;"33";"12421";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;NA;NA;NA;"AMOXICILLINE;ACIDE CLAVULANIQUE";"Forme buvable";"1000mg;125mg";8;"1000mg;125mg";8;1000;10;2152;NA;21520
3638068;"poudre pour suspension buvable";"AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM";"ARROW GENERIQUES";"3400936380684";"64636573";"AMOXICILLINE/ACIDE CLAVULANIQUE ARROW 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)";"8 sachet(s)-dose(s) papier aluminium polyéthylène de 2 g";0;"916";"14509";NA;NA;NA;NA;NA;NA;NA;2020-04-09;NA;NA;NA;NA;"AMOXICILLINE;ACIDE CLAVULANIQUE";"Forme buvable";"1000mg;125mg";8;"1000mg;125mg";8;1000;10;0;NA;0
3638074;"poudre pour suspension buvable";"AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM";"ARROW GENERIQUES";"3400936380745";"64636573";"AMOXICILLINE/ACIDE CLAVULANIQUE ARROW 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)";"12 sachet(s)-dose(s) papier aluminium polyéthylène de 2 g";87872;"0";"45670.6488182984";NA;NA;NA;NA;NA;NA;NA;2020-04-15;NA;"109000";NA;NA;"AMOXICILLINE;ACIDE CLAVULANIQUE";"Forme buvable";"1000mg;125mg";12;"1000mg;125mg";12;1000;10;1054464;NA;10544640
3638074;"poudre pour suspension buvable";"AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM";"ARROW GENERIQUES";"3400936380745";"64636573";"AMOXICILLINE/ACIDE CLAVULANIQUE ARROW 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)";"12 sachet(s)-dose(s) papier aluminium polyéthylène de 2 g";0;"0";"48566";87000;NA;"35000";NA;NA;NA;"1e+05";2020-04-09;NA;NA;NA;NA;"AMOXICILLINE;ACIDE CLAVULANIQUE";"Forme buvable";"1000mg;125mg";12;"1000mg;125mg";12;1000;10;0;NA;0
3640898;"comprimé à sucer";"BITARTRATE DE NICOTINE DIHYDRATÉ";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936408982";"61019983";"NICOTINELL MENTHE 1 mg, comprimé à sucer";"plaquette(s) thermoformée(s) PVC-Aluminium polyéthylène PVDC PVC de 36 comprimé(s)";12996;"10869";"3089.75";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"34164";"0";NA;"NICOTINE";"Forme orale sèche";"1mg";36;"1mg";36;1;1;467856;NA;467856
3640898;"comprimé à sucer";"BITARTRATE DE NICOTINE DIHYDRATE";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936408982";"61019983";"NICOTINELL MENTHE 1 mg, comprimé à sucer";"plaquette(s) thermoformée(s) PVC-Aluminium polyéthylène PVDC PVC de 36 comprimé(s)";6;"0";"3090";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;"34164";NA;"NICOTINE";"Forme orale sèche";"1mg";36;"1mg";36;1;1;216;NA;216
3640906;"comprimé à sucer";"BITARTRATE DE NICOTINE DIHYDRATÉ";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936409064";"61019983";"NICOTINELL MENTHE 1 mg, comprimé à sucer";"plaquette(s) thermoformée(s) PVC-Aluminium polyéthylène PVDC PVC de 96 comprimé(s)";5496;"5341";"7689.33333333333";NA;NA;NA;"0";"0";"12642";"0";2020-04-23;NA;"0";"0";NA;"NICOTINE";"Forme orale sèche";"1mg";96;"1mg";96;1;1;527616;NA;527616
3640906;"comprimé à sucer";"BITARTRATE DE NICOTINE DIHYDRATE";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936409064";"61019983";"NICOTINELL MENTHE 1 mg, comprimé à sucer";"plaquette(s) thermoformée(s) PVC-Aluminium polyéthylène PVDC PVC de 96 comprimé(s)";5612;"0";"7689.33333333333";NA;NA;NA;NA;"12642";NA;NA;2020-05-04;NA;NA;NA;NA;"NICOTINE";"Forme orale sèche";"1mg";96;"1mg";96;1;1;538752;NA;538752
3640912;"comprimé à sucer";"BITARTRATE DE NICOTINE DIHYDRATÉ";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936409125";"61019983";"NICOTINELL MENTHE 1 mg, comprimé à sucer";"plaquette(s) thermoformée(s) PVC-Aluminium polyéthylène PVDC PVC de 204 comprimé(s)";11777;"14443";"6948.33333333333";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"6028";NA;"NICOTINE";"Forme orale sèche";"1mg";204;"1mg";204;1;1;2402508;NA;2402508
3640912;"comprimé à sucer";"BITARTRATE DE NICOTINE DIHYDRATE";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400936409125";"61019983";"NICOTINELL MENTHE 1 mg, comprimé à sucer";"plaquette(s) thermoformée(s) PVC-Aluminium polyéthylène PVDC PVC de 204 comprimé(s)";27662;"5301";"6948";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"NICOTINE";"Forme orale sèche";"1mg";204;"1mg";204;1;1;5643048;NA;5643048
